model,hypothesis,condition,sentiment,player_A_mentions,player_B_mentions,player_C_mentions,response_length
mistral-large-latest,H1_Framing,negative,0.02738095238095238,0,0,0,2448
llama-3.3-70b-versatile,H1_Framing,negative,0.12083333333333332,0,0,0,880
mistral-large-latest,H1_Framing,positive,0.10167310167310167,0,0,0,3316
llama-3.3-70b-versatile,H1_Framing,positive,0.25,0,0,0,747
mistral-large-latest,H1_Framing,neutral,0.09161706349206349,0,0,0,5557
llama-3.3-70b-versatile,H1_Framing,neutral,0.08266666666666668,0,0,0,1290
mistral-large-latest,H2_Outcome,loss_focus,0.08110269360269359,0,0,0,4525
llama-3.3-70b-versatile,H2_Outcome,loss_focus,0.0955357142857143,0,0,0,888
mistral-large-latest,H2_Outcome,win_focus,0.12630757220921152,0,0,0,6624
llama-3.3-70b-versatile,H2_Outcome,win_focus,0.19999999999999998,0,0,0,1352
mistral-large-latest,H2_Outcome,neutral,0.11559356136820928,0,0,0,6015
llama-3.3-70b-versatile,H2_Outcome,neutral,0.12125541125541124,0,0,0,2211
mistral-large-latest,H3_Selection,offense_focus,0.1579986613119143,0,0,0,5095
llama-3.3-70b-versatile,H3_Selection,offense_focus,-0.03431372549019609,0,0,0,1207
mistral-large-latest,H3_Selection,defense_focus,-0.0032727272727272674,0,0,0,5185
llama-3.3-70b-versatile,H3_Selection,defense_focus,0.08193650793650793,0,0,0,1581
mistral-large-latest,H3_Selection,neutral,0.12451814058956917,0,0,0,4958
llama-3.3-70b-versatile,H3_Selection,neutral,0.07435897435897434,0,0,0,1111
